Individual ,Sire,Dam,Family,Culture,Length,Block,pH,photo_ID,Malformed
1,S1,D1,1,1,122.012,1,8.1,c3_1_-1.tif,no
2,S1,D1,1,1,125.162,1,8.1,c3_1_1.tif,no
3,S1,D1,1,1,113.386,1,8.1,c3_1_1.tif,no
4,S1,D1,1,1,118.439,1,8.1,c3_1_2.tif,no
5,S1,D1,1,1,121.629,1,8.1,c3_1_2.tif,no
6,S1,D1,1,1,113.146,1,8.1,c3_1_4.tif,no
7,S1,D1,1,1,118.077,1,8.1,c3_1_5.tif,no
8,S1,D1,1,1,111.596,1,8.1,c3_1_5.tif,yes
9,S1,D1,1,1,121.817,1,8.1,c3_1_6.tif,yes
10,S1,D1,1,1,122.12,1,8.1,c3_1_7.tif,no
11,S1,D1,1,1,122.84,1,8.1,c3_1_7.tif,no
12,S1,D1,1,1,111.316,1,8.1,c3_1_8.tif,no
13,S1,D1,1,1,118.185,1,8.1,c3_1_8.tif,no
14,S1,D1,1,1,115.276,1,8.1,c3_1_9.tif,yes
15,S1,D1,1,1,116.697,1,8.1,c3_1_10.tif,no
16,S1,D1,1,1,119.63,1,8.1,c3_1_11.tif,yes
17,S1,D1,1,1,120.541,1,8.1,c3_1_12.tif,no
18,S1,D1,1,1,119.525,1,8.1,c3_1_12.tif,no
19,S1,D1,1,1,124.739,1,8.1,c3_1_13.tif,no
20,S1,D1,1,1,104.003,1,8.1,c3_1_14.tif,yes
21,S1,D1,1,2,123.705,1,8.1,c3_2_.tif,no
22,S1,D1,1,2,116.423,1,8.1,c3_2_1.tif,no
23,S1,D1,1,2,121.653,1,8.1,c3_2_2.tif,no
24,S1,D1,1,2,117.186,1,8.1,c3_2_3.tif,no
25,S1,D1,1,2,117.193,1,8.1,c3_2_3.tif,no
26,S1,D1,1,2,121.511,1,8.1,c3_2_4.tif,no
27,S1,D1,1,2,121.314,1,8.1,c3_2_6.tif,no
28,S1,D1,1,2,122.949,1,8.1,c3_2_6.tif,no
29,S1,D1,1,2,117.294,1,8.1,c3_2_8.tif,no
30,S1,D1,1,2,122.437,1,8.1,c3_2_9.tif,no
31,S1,D1,1,2,114.592,1,8.1,c3_2_10.tif,no
32,S1,D1,1,2,122.63,1,8.1,c3_2_11.tif,no
33,S1,D1,1,2,121.65,1,8.1,c3_2_12.tif,no
34,S1,D1,1,2,121.252,1,8.1,c3_2_13.tif,no
35,S1,D1,1,2,121.716,1,8.1,c3_2_14.tif,no
36,S1,D1,1,2,123.776,1,8.1,c3_2_16.tif,no
37,S1,D1,1,2,123.388,1,8.1,c3_2_16.tif,no
38,S1,D1,1,2,115.589,1,8.1,c3_2_17.tif,no
39,S1,D1,1,2,121.461,1,8.1,c3_2_18.tif,no
40,S1,D1,1,2,124.236,1,8.1,c3_2_19.tif,no
41,S1,D1,1,3,115.153,1,8.1,c3_3_-1.tif,no
42,S1,D1,1,3,110.978,1,8.1,c3_3_-1.tif,no
43,S1,D1,1,3,109.068,1,8.1,c3_3_2.tif,no
44,S1,D1,1,3,120.053,1,8.1,c3_3_2.tif,no
45,S1,D1,1,3,115.154,1,8.1,c3_3_2.tif,no
46,S1,D1,1,3,117.923,1,8.1,c3_3_2.tif,no
47,S1,D1,1,3,119.794,1,8.1,c3_3_2.tif,no
48,S1,D1,1,3,114.893,1,8.1,c3_3_4.tif,no
49,S1,D1,1,3,122.622,1,8.1,c3_3_5.tif,no
50,S1,D1,1,3,123.566,1,8.1,c3_3_6.tif,no
51,S1,D1,1,3,124.545,1,8.1,c3_3_6.tif,yes
52,S1,D1,1,3,117.359,1,8.1,c3_3_6.tif,no
53,S1,D1,1,3,119.91,1,8.1,c3_3_7.tif,no
54,S1,D1,1,3,122.597,1,8.1,c3_3_7.tif,no
55,S1,D1,1,3,120.737,1,8.1,c3_3_7.tif,no
56,S1,D1,1,3,117.312,1,8.1,c3_3_8.tif,no
57,S1,D1,1,3,122.858,1,8.1,c3_3_8.tif,no
58,S1,D1,1,3,120.679,1,8.1,c3_3_9.tif,no
59,S2,D1,2,1,123.554,1,8.1,c4_1_.tif,yes
60,S2,D1,2,1,119.931,1,8.1,c4_1_1.tif,no
61,S2,D1,2,1,120.773,1,8.1,c4_1_2.tif,no
62,S2,D1,2,1,124.07,1,8.1,c4_1_3.tif,no
63,S2,D1,2,1,123.522,1,8.1,c4_1_3.tif,no
