Culture	pH	ID	Family	Sire	Dam	Block	Initial_larvae	Live	Dead	Mortality
C1_1	8.1	ind1	1	1	1	1	266	159	107	40.2
C1_2	8.1	ind2	1	1	1	1	266	155	111	41.7
C1_3	8.1	ind3	1	1	1	1	266	173	93	35
C2_1	8.1	ind4	2	2	1	1	266	183	83	31.2
C2_2	8.1	ind5	2	2	1	1	266	146	120	45.1
C2_3	8.1	ind6	2	2	1	1	266	153	113	42.5
C3_1	8.1	ind7	3	1	2	1	266	173	93	35
C3_2	8.1	ind8	3	1	2	1	266	150	116	43.6
C3_3	8.1	ind9	3	1	2	1	266	183	83	31.1
C4_1	8.1	ind10	4	2	2	1	266	154	112	42.1
C4_2	8.1	ind11	4	2	2	1	266	179	87	32.7
C4_3	8.1	ind12	4	2	2	1	266	145	121	45.5
T1_1	7.5	ind13	1	1	1	1	266	167	99	37.2
T1_2	7.5	ind14	1	1	1	1	266	171	95	35.7
T1_3	7.5	ind15	1	1	1	1	266	171	95	35.7
T2_1	7.5	ind16	2	2	1	1	266	166	100	37.6
T2_2	7.5	ind17	2	2	1	1	266	128	138	51.9
T2_3	7.5	ind18	2	2	1	1	266	141	125	47
T3_1	7.5	ind19	3	1	2	1	266	185	81	30.5
T3_2	7.5	ind20	3	1	2	1	266	193	73	27.4
T3_3	7.5	ind21	3	1	2	1	266	209	57	21.4
T4_1	7.5	ind22	4	2	2	1	266	140	126	47.4
T4_2	7.5	ind23	4	2	2	1	266	172	94	35.3
T4_3	7.5	ind24	4	2	2	1	266	139	127	47.7
C5_1	8.1	ind25	5	3	3	2	266	114	152	57.1
C5_2	8.1	ind26	5	3	3	2	266	124	142	53.4
C5_3	8.1	ind27	5	3	3	2	266	131	135	50.8
C6_1	8.1	ind28	6	4	3	2	266	134	132	49.6
C6_2	8.1	ind29	6	4	3	2	266	111	155	58.3
C6_3	8.1	ind30	6	4	3	2	266	105	161	60.5
C7_1	8.1	ind31	7	3	4	2	266	154	112	42.1
C7_2	8.1	ind32	7	3	4	2	266	147	119	44.7
C7_3	8.1	ind33	7	3	4	2	266	164	102	38.3
C8_1	8.1	ind34	8	4	4	2	266	198	68	25.6
C8_2	8.1	ind35	8	4	4	2	266	206	60	22.6
C8_3	8.1	ind36	8	4	4	2	266	217	49	18.4
T5_1	7.5	ind37	5	3	3	2	266	90	176	66.2
T5_2	7.5	ind38	5	3	3	2	266	130	136	51.1
T5_3	7.5	ind39	5	3	3	2	266	140	126	47.4
